0.jpg,0.000
1.jpg,0.000
2.jpg,0.000
3.jpg,0.000
4.jpg,0.000
5.jpg,0.022
6.jpg,0.023
7.jpg,0.025
8.jpg,0.025
9.jpg,0.025
10.jpg,0.025
11.jpg,0.025
12.jpg,0.025
13.jpg,0.025
14.jpg,0.025
15.jpg,0.025
16.jpg,0.025
17.jpg,0.025
18.jpg,0.025
19.jpg,0.025
20.jpg,0.023
21.jpg,0.023
22.jpg,0.007
23.jpg,0.006
24.jpg,0.006
25.jpg,0.005
26.jpg,0.004
27.jpg,0.004
28.jpg,0.004
29.jpg,0.004
30.jpg,0.002
31.jpg,0.003
32.jpg,0.003
33.jpg,0.002
34.jpg,0.002
35.jpg,-0.005
36.jpg,-0.005
37.jpg,-0.004
38.jpg,-0.005
39.jpg,-0.005
40.jpg,-0.003
41.jpg,-0.003
42.jpg,0.000
43.jpg,-0.002
44.jpg,-0.002
45.jpg,-0.004
46.jpg,0.001
47.jpg,0.000
48.jpg,0.002
49.jpg,0.002
50.jpg,0.002
51.jpg,0.005
52.jpg,0.007
53.jpg,0.006
54.jpg,0.006
55.jpg,-0.002
56.jpg,-0.003
57.jpg,-0.003
58.jpg,-0.005
59.jpg,-0.005
60.jpg,-0.003
61.jpg,-0.001
62.jpg,0.000
63.jpg,0.000
64.jpg,0.000
65.jpg,-0.002
66.jpg,-0.003
67.jpg,-0.004
68.jpg,0.010
69.jpg,0.010
70.jpg,-0.002
71.jpg,-0.000
72.jpg,-0.003
73.jpg,-0.001
74.jpg,-0.001
75.jpg,0.000
76.jpg,-0.001
77.jpg,-0.002
78.jpg,0.000
79.jpg,0.003
80.jpg,0.003
81.jpg,0.001
82.jpg,0.003
83.jpg,0.004
84.jpg,0.004
85.jpg,0.038
86.jpg,-0.009
87.jpg,-0.004
88.jpg,0.001
89.jpg,0.001
90.jpg,0.020
91.jpg,0.047
92.jpg,-0.002
93.jpg,-0.009
94.jpg,-0.009
95.jpg,-0.008
96.jpg,-0.004
97.jpg,-0.004
98.jpg,-0.003
99.jpg,-0.003
